CNPJ,RazaoSocial,Trimestre,Ano,ValorDespesas
316458,PENDENTE_ENRIQUECIMENTO,1T,2025,99024.72
316849,PENDENTE_ENRIQUECIMENTO,1T,2025,292907.23
316903,PENDENTE_ENRIQUECIMENTO,1T,2025,25535.0
317144,PENDENTE_ENRIQUECIMENTO,1T,2025,7749710.64
317896,PENDENTE_ENRIQUECIMENTO,1T,2025,298622.88
318213,PENDENTE_ENRIQUECIMENTO,1T,2025,14465742.53
312720,PENDENTE_ENRIQUECIMENTO,1T,2025,76263.74
313084,PENDENTE_ENRIQUECIMENTO,1T,2025,25740.41
314099,PENDENTE_ENRIQUECIMENTO,1T,2025,61220950.79
314251,PENDENTE_ENRIQUECIMENTO,1T,2025,107652.14
314587,PENDENTE_ENRIQUECIMENTO,1T,2025,1476439.76
314781,PENDENTE_ENRIQUECIMENTO,1T,2025,101743.52
315494,PENDENTE_ENRIQUECIMENTO,1T,2025,977764.35
315648,PENDENTE_ENRIQUECIMENTO,1T,2025,14300719.03
315796,PENDENTE_ENRIQUECIMENTO,1T,2025,3994951.57
313211,PENDENTE_ENRIQUECIMENTO,1T,2025,45076325.62
314668,PENDENTE_ENRIQUECIMENTO,1T,2025,1399887.37
315044,PENDENTE_ENRIQUECIMENTO,1T,2025,2463058.39
316997,PENDENTE_ENRIQUECIMENTO,1T,2025,2843.96
318299,PENDENTE_ENRIQUECIMENTO,1T,2025,16185.55
314218,PENDENTE_ENRIQUECIMENTO,1T,2025,12340.67
314366,PENDENTE_ENRIQUECIMENTO,1T,2025,2049958.17
315729,PENDENTE_ENRIQUECIMENTO,1T,2025,1960236.34
318388,PENDENTE_ENRIQUECIMENTO,1T,2025,816249.41
314315,PENDENTE_ENRIQUECIMENTO,1T,2025,596598.18
315567,PENDENTE_ENRIQUECIMENTO,1T,2025,185749.03
316873,PENDENTE_ENRIQUECIMENTO,1T,2025,3064382.53
317012,PENDENTE_ENRIQUECIMENTO,1T,2025,1327027.81
313475,PENDENTE_ENRIQUECIMENTO,1T,2025,57975.57
318035,PENDENTE_ENRIQUECIMENTO,1T,2025,1667259.28
312851,PENDENTE_ENRIQUECIMENTO,1T,2025,13140738.34
315265,PENDENTE_ENRIQUECIMENTO,1T,2025,432632.71
316148,PENDENTE_ENRIQUECIMENTO,1T,2025,566336.21
314706,PENDENTE_ENRIQUECIMENTO,1T,2025,168090.0
323268,PENDENTE_ENRIQUECIMENTO,1T,2025,110942.52
323942,PENDENTE_ENRIQUECIMENTO,1T,2025,15804.77
324159,PENDENTE_ENRIQUECIMENTO,1T,2025,632625.33
318477,PENDENTE_ENRIQUECIMENTO,1T,2025,118100.46
319121,PENDENTE_ENRIQUECIMENTO,1T,2025,32842.42
319422,PENDENTE_ENRIQUECIMENTO,1T,2025,4279324.94
319708,PENDENTE_ENRIQUECIMENTO,1T,2025,564756.01
320862,PENDENTE_ENRIQUECIMENTO,1T,2025,409460.34
321273,PENDENTE_ENRIQUECIMENTO,1T,2025,168574489.9
322326,PENDENTE_ENRIQUECIMENTO,1T,2025,132298.24
322831,PENDENTE_ENRIQUECIMENTO,1T,2025,126660.11
323055,PENDENTE_ENRIQUECIMENTO,1T,2025,19425314.07
323357,PENDENTE_ENRIQUECIMENTO,1T,2025,162422.79
324175,PENDENTE_ENRIQUECIMENTO,1T,2025,506590.39
324299,PENDENTE_ENRIQUECIMENTO,1T,2025,255710.85
319996,PENDENTE_ENRIQUECIMENTO,1T,2025,426191238.63
320706,PENDENTE_ENRIQUECIMENTO,1T,2025,135245665.49
319180,PENDENTE_ENRIQUECIMENTO,1T,2025,1464241.64
321044,PENDENTE_ENRIQUECIMENTO,1T,2025,324515607.81
323993,PENDENTE_ENRIQUECIMENTO,1T,2025,189632.51
321320,PENDENTE_ENRIQUECIMENTO,1T,2025,36135.44
322890,PENDENTE_ENRIQUECIMENTO,1T,2025,6808.84
323080,PENDENTE_ENRIQUECIMENTO,1T,2025,37007700.33
318566,PENDENTE_ENRIQUECIMENTO,1T,2025,478202.48
322571,PENDENTE_ENRIQUECIMENTO,1T,2025,4220846.39
320251,PENDENTE_ENRIQUECIMENTO,1T,2025,5767974.4
321087,PENDENTE_ENRIQUECIMENTO,1T,2025,6800.2
320897,PENDENTE_ENRIQUECIMENTO,1T,2025,774382.54
321338,PENDENTE_ENRIQUECIMENTO,1T,2025,10722739.11
323926,PENDENTE_ENRIQUECIMENTO,1T,2025,457570.01
319384,PENDENTE_ENRIQUECIMENTO,1T,2025,1801580.4
320820,PENDENTE_ENRIQUECIMENTO,1T,2025,151393.39
321931,PENDENTE_ENRIQUECIMENTO,1T,2025,220619.41
323004,PENDENTE_ENRIQUECIMENTO,1T,2025,219723.66
313149,PENDENTE_ENRIQUECIMENTO,1T,2025,218263.66
316881,PENDENTE_ENRIQUECIMENTO,1T,2025,4256887.31
317233,PENDENTE_ENRIQUECIMENTO,1T,2025,785704.16
313751,PENDENTE_ENRIQUECIMENTO,1T,2025,2722206.06
315583,PENDENTE_ENRIQUECIMENTO,1T,2025,2196071.6
314242,PENDENTE_ENRIQUECIMENTO,1T,2025,573021.35
317632,PENDENTE_ENRIQUECIMENTO,1T,2025,181981.55
315478,PENDENTE_ENRIQUECIMENTO,1T,2025,867343.78
335657,PENDENTE_ENRIQUECIMENTO,1T,2025,11948.82
335690,PENDENTE_ENRIQUECIMENTO,1T,2025,33720979.64
335789,PENDENTE_ENRIQUECIMENTO,1T,2025,8736015.18
336106,PENDENTE_ENRIQUECIMENTO,1T,2025,692073.81
336467,PENDENTE_ENRIQUECIMENTO,1T,2025,110084.47
336858,PENDENTE_ENRIQUECIMENTO,1T,2025,337367.98
337188,PENDENTE_ENRIQUECIMENTO,1T,2025,7989666.13
331872,PENDENTE_ENRIQUECIMENTO,1T,2025,7543282.94
333051,PENDENTE_ENRIQUECIMENTO,1T,2025,2932377.41
333662,PENDENTE_ENRIQUECIMENTO,1T,2025,15167.27
333875,PENDENTE_ENRIQUECIMENTO,1T,2025,1191.42
334511,PENDENTE_ENRIQUECIMENTO,1T,2025,1859052.11
