CNPJ,RazaoSocial,UF,Total_Despesas,Media_Trimestral,Desvio_Padrao
00461479000163,PREVENT SENIOR PRIVATE OPERADORA DE SAÚDE LTDA,SP,7245751040.5199995,1811437760.1299999,1474298969.562107
33719485000127,CAIXA DE ASSISTÊNCIA DOS FUNCIONÁRIOS DO BANCO DO BRASIL,DF,6818661188.360001,1704665297.0900002,3335108917.8744884
02725347000127,CARE PLUS MEDICINA ASSISTENCIAL LTDA.,SP,3591463786.88,897865946.72,1068870049.4742179
31925548000176,GRUPO HOSPITALAR DO RIO DE JANEIRO LTDA,RJ,3298328075.33,824582018.8325,1005176646.210084
73809352000166,FUNDAÇÃO SAÚDE ITAÚ,MG,1819785051.14,454946262.785,909851076.7395539
27578434000120,UNIMED VITORIA COOPERATIVA DE TRABALHO MEDICO,ES,1803641834.88,450910458.72,856189487.3492594
04311093000126,CAIXA DE ASSISTENCIA DOS SERVIDORES DO ESTADO DE MATO GROSSO DO SUL,MS,1114079346.24,278519836.56,552128808.785376
07658098000118,QUALICORP ADMINISTRADORA DE BENEFÍCIOS S.A.,SP,1071496033.7299999,267874008.43249997,317280420.49363583
31466949000105,SAMEDIL SERVIÇOS DE ATENDIMENTO MÉDICO S/A,ES,1038372952.48,259593238.12,292968730.9686731
87300448000109,UNIMED - COOPERATIVA DE SERVIÇOS DE SAÚDE DOS VALES DO TAQUARI E RIO PARDO LTDA.,RS,968403915.8199999,242100978.95499998,289078115.69458926
60961422000155,"SERVIÇO SOCIAL DA INDÚSTRIA DO PAPEL, PAPELÃO E CORTIÇA DO ESTADO DE SÃO PAULO - SEPACO",SP,916345841.68,229086460.42,274483490.1093681
76767219000182,UNIMED REGIONAL MARINGÁ COOP.DE TRABALHO MÉDICO,PR,905468725.88,226367181.47,186838626.67604172
43643139000166,UNIMED DO ESTADO DE SÃO PAULO - FEDERAÇÃO ESTADUAL DAS COOP. MÉDICAS,SP,863145701.48,215786425.37,242960466.51359174
58229691000180,UNIMED DE SANTOS COOP DE TRAB MEDICO,SP,841875916.93,210468979.2325,416224204.18605554
03315918000118,UNIMED CAMPO GRANDE MS COOPERATIVA DE TRABALHO MÉDICO,MS,827290800.59,206822700.1475,386678883.4950243
45232246000127,UNIMED DE RIBEIRAO PRETO - COOPERATIVA DE TRABALHO MÉDICO,SP,808068613.41,202017153.3525,401018337.45003176
50565317000143,SERV  SOCIAL AUTÔNOMO DE ASSIST À SAÚDE DOS SERV PÚBLICOS E MILITARES DE GOIÁS,GO,744296445.5600001,248098815.1866667,182165079.99720034
08680639000177,UNIMED JOAO PESSOA - COOPERATIVA DE TRABALHO MÉDICO,PB,661088243.21,165272060.8025,183878643.46155
00361325000108,HUMANA SAÚDE NORDESTE LTDA.,PI,638454213.16,159613553.29,177077620.33816195
35917970000130,UNIMED DE VOLTA REDONDA COOPERATIVA DE TRABALHO MÉDICO,RJ,622663844.99,155665961.2475,258067992.19621447
28714533000154,UNIMED NOVA IGUACU COOPERATIVA DE TRABALHO MEDICO,RJ,598393422.8299999,149598355.70749998,94768944.22670463
44803922000102,UNIMED DE PIRACICABA SOCIEDADE COOPERATIVA DE SERVIÇOS MÉDICOS,SP,596419584.9499999,149104896.23749998,293908765.640572
35830868000101,UNIMED DE MACAÉ COOPERATIVA DE ASSISTÊNCIA À SAÚDE,RJ,553898296.41,138474574.1025,115737887.2091689
34266553000102,ALICE OPERADORA LTDA.,SP,528259488.27,132064872.0675,251387862.82836667
62511019000150,ALVORECER - ASSOCIAÇÃO DE SOCORROS MÚTUOS,SP,506478690.70000005,126619672.67500001,120279538.27348834
81170003000175,UNIMED DE CASCAVEL COOPERATIVA DE TRABALHO MÉDICO,PR,500338940.13,125084735.0325,227753433.65259004
62638374000194,CENTRO TRASMONTANO DE SAO PAULO,SP,498125424.27,124531356.0675,248666752.44549847
73967085000155,UNIMED NORTE DO MATO GROSSO COOPERATIVA DE TRABALHO MÉDICO,MT,477684952.67999995,119421238.16999999,92690762.58132206
95642179000197,HUMANA SAÚDE LTDA.,PR,469294861.40000004,117323715.35000001,214678343.2895665
92030543000170,HOSPITAL DE CLÍNICAS DE PASSO FUNDO,RS,446865673.75,111716418.4375,135191851.57513285
31240963000196,ASSOCIAÇÃO BENEFICENTE DOS PROFESSORES PÚBLICOS ATIVOS E INATIVOS DO RIO DE JANEIRO - APPAI,RJ,387147201.76,96786800.44,163772593.29985216
83367342000171,ASSOCIAÇÃO ADVENTISTA NORTE BRASILEIRA DE PREVENÇÃO E ASSISTÊNCIA A SAÚDE,PA,386489762.94000006,96622440.73500001,174653438.84567547
44456036000150,UNIMED DE BAURU COOPERATIVA DE TRABALHO MÉDICO,SP,380392033.97,95098008.4925,182634557.24122855
45272366000158,UNIMED DE ARARAQUARA - COOP. DE TRAB. MÉDICO,SP,370991105.78,92747776.445,177733283.70707273
48628366000136,UNIMED DE SANTA BÁRBARA D'OESTE E AMERICANA - COOP DE TRABALHO MÉDICO,SP,359193630.28000003,89798407.57000001,172248204.30223754
82602327000106,UNIMED DE JOINVILLE COOPERATIVA DE TRABALHO MÉDICO,SC,355953030.20000005,88988257.55000001,91898535.77840026
09433795000104,QUALLITY PRÓ SAÚDE PLANO DE ASSISTÊNCIA MÉDICA LTDA.,DF,347418844.19,86854711.0475,172152284.01431656
13360276000122,UNIMED SERGIPE - COOPERATIVA DE TRABALHO MÉDICO,SE,344674418.18,86168604.545,165759998.8869754
88645403000139,CIRCULO OPERARIO CAXIENSE,RS,342650966.61,85662741.6525,169335726.37370926
83506030000100,BENEFICENCIA CAMILIANA DO SUL,SP,328300995.38,109433665.12666667,189516633.86291662
02597394000132,UNIMED VALE DO SEPOTUBA - COOPERATIVA DE TRABALHO MÉDICO,MT,319341398.75,79835349.6875,82233385.5591941
56727134000163,UNIMED JUNDIAI - COOPERATIVA DE TRABALHO MÉDICO,SP,316836381.78,79209095.445,136395097.9801771
79115762000193,IRMANDADE SANTA CASA DE MISERICÓRDIA DE MARINGÁ,PR,315559295.86,78889823.965,111765972.58995916
02476067000122,UNIMED GOIANIA COOPERATIVA DE TRABALHO MÉDICO,GO,312895909.21999997,78223977.30499999,132714865.60783596
03284505000113,HOSPITAL MATERNIDADE SÃO VICENTE DE PAULO,CE,312785607.13,78196401.7825,45052808.99123491
58837188000107,UNIMED SALTO/ITU - COOPERATIVA MÉDICA,SP,311896637.29,77974159.3225,136003661.6750305
51473692000126,IRMANDADE DA SANTA CASA DE MISERICORDIA DE LIMEIRA,SP,289831369.12,72457842.28,139077183.1924644
87497368000195,UNIMED SANTA MARIA/RS - COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA,RS,288643122.24,72160780.56,143042082.8936652
02322043000119,UNIMED REGIONAL JAU - COOPERATIVA DE TRABALHO MÉDICO,SP,288564722.67,72141180.6675,86792935.88679993
32440968000125,UNIMED SUL CAPIXABA COOPERATIVA DE TRABALHO MÉDICO,ES,274672977.18,68668244.295,76877954.86148737
16991945000152,UNIMED VALE DO AÇO COOPERATIVA DE TRABALHO MÉDICO,MG,264761424.74,88253808.24666667,39534894.31762927
29135795000127,UNIMED NOVA FRIBURGO-SOC.COOP.SERV.MED.HOSP.LTDA.,RJ,256950157.82999998,64237539.457499996,127039072.42621203
17774738000109,UNIMED UBERABA COOPERATIVA DE TRABALHO MEDICO LTDA.,MG,255942374.08,63985593.52,66196272.87575552
26629238000174,UNIMED ANÁPOLIS COOPERATIVA DE TRABALHO MÉDICO.,GO,245130907.09,61282726.7725,71200143.74170673
08707473000135,UNIMED CAMPINA GRANDE - COOPERATIVA DE TRABALHO MEDICO LTDA,PB,239624655.4,59906163.85,117911419.09530763
56384183000140,IRMANDADE DA SANTA CASA DE MISERICÓRDIA DE RIO CLARO,SP,237935826.79,59483956.6975,69039953.78775145
45425899000122,UNIMED DE BOTUCATU COOPERATIVA DE TRABALHO MÉDICO,SP,233595354.23,58398838.5575,114382247.24705568
00697509000135,UNIMED CENTRO RONDÔNIA COOPERATIVA DE TRABALHO MÉDICO,RO,232761870.04,58190467.51,104545409.61293565
73936395000102,UNIMED ENCOSTA DA SERRA/RS SOCIEDADE COOPERATIVA DE SERVIÇOS DE SAÚDE LTDA.,RS,230230298.56,57557574.64,60338444.15780874
44649812000138,NOTRE DAME INTERMÉDICA SAÚDE S.A.,SP,229904372.47,57476093.1175,44764001.89425637
15214919000155,PROMÉDICA - PROTEÇÃO MEDICA A EMPRESAS S.A.,BA,226963344.45,56740836.1125,112399463.71788916
01445199000124,UNIHOSP SAÚDE LTDA,SP,220144565.95,55036141.4875,62189457.907777764
03518900000113,INSTITUTO CURITIBA DE SAÚDE,PR,214809070.95,53702267.7375,61958456.32285098
42163881000101,UNIMED-RIO COOPERATIVA DE TRABALHO MEDICO DO RIO DE JANEIRO,RJ,209575185.82,104787592.91,0.0
85241339000132,UNIMED DE TUBARAO - COOPERATIVA DE TRABALHO MEDICO DA REGIAO DA AMUREL,SC,204870191.48000002,51217547.870000005,97933366.59770982
15395999000192,UNIMED DE DOURADOS COOPERATIVA DE TRABALHO MÉDICO LTDA,MS,193356137.85000002,48339034.462500006,88274049.3607053
10219897000100,UNIMED OESTE DO PARÁ - COOPERATIVA DE TRABALHO MÉDICO,PA,191561869.62,47890467.405,95770545.11219636
