CNPJ,RazaoSocial,Trimestre,Ano,ValorDespesas,Modalidade,UF,RegistroANS
41511429000120,UNIMED REGIONAL DE FLORIANO - COOPERATIVA DE TRABALHO MÉDICO,1T,2025,99024.72,Cooperativa MÃ©dica,PI,316458
42465310000121,TELOS - FUNDAÇÃO EMBRATEL DE SEGURIDADE SOCIAL,1T,2025,292907.23,AutogestÃ£o,RJ,316849
93507895000136,POLIMÉDICA SAÚDE SOCIEDADE SIMPLES LTDA,1T,2025,25535.0,Medicina de Grupo,RS,316903
05868278000107,UNIMED DE FORTALEZA SOCIEDADE COOPERATIVA MÉDICA LTDA.,1T,2025,7749710.64,Cooperativa MÃ©dica,CE,317144
71499792000139,UNIMED VERTENTE DO CAPARAÓ - COOPERATIVA DE TRABALHO MÉDICO LTDA,1T,2025,298622.88,Cooperativa MÃ©dica,MG,317896
85246916000189,COOPERATIVA DE TRABALHO MEDICO REGIÃO DO PLANALTO SERRANO,1T,2025,14465742.53,Cooperativa MÃ©dica,SC,318213
78339439000130,UNIMED DO ESTADO DO PARANÁ FEDERAÇÃO ESTADUAL DAS COOPERATIVAS MÉDICAS,1T,2025,76263.74,Cooperativa MÃ©dica,PR,312720
25064148000110,COOPERATIVA DE TRABALHO MEDICO DE ARAGUAÍNA - UNIMED ARAGUAÍNA,1T,2025,25740.41,Cooperativa MÃ©dica,TO,313084
02597394000132,UNIMED VALE DO SEPOTUBA - COOPERATIVA DE TRABALHO MÉDICO,1T,2025,61220950.79,Cooperativa MÃ©dica,MT,314099
02172353000102,CAIXA ASSISTENCIAL UNIVERSITÁRIA DO RIO GRANDE DO NORTE,1T,2025,107652.14,AutogestÃ£o,RN,314251
66343534000129,UNIMED VIÇOSA - COOPERATIVA DE TRABALHO MÉDICO,1T,2025,1476439.76,Cooperativa MÃ©dica,MG,314587
68204486000113,UNIMED DE DRACENA - COOPERATIVA DE TRABALHO MÉDICO,1T,2025,101743.52,Cooperativa MÃ©dica,SP,314781
41905498000119,UNIMED NOROESTE DE MINAS COOPERATIVA DE TRABALHO MEDICO LTDA,1T,2025,977764.35,Cooperativa MÃ©dica,MG,315494
64327059000171,UNIMED CATAGUASES COOPERATIVA DE TRABALHO MÉDICO LTDA,1T,2025,14300719.03,Cooperativa MÃ©dica,MG,315648
44863959000126,UNIMED DE PRESIDENTE PRUDENTE COOPERATIVA DE TRAB. MÉDICO,1T,2025,3994951.57,Cooperativa MÃ©dica,SP,315796
87306361000149,UNIMED VALE DO CAÍ/RS - COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA.,1T,2025,45076325.62,Cooperativa MÃ©dica,RS,313211
17505793000101,ABERTTA SAÚDE - ASSOCIAÇÃO BENEFICENTE DOS EMPREGADOS DA ARCELORMITTAL NO BRASIL,1T,2025,1399887.37,AutogestÃ£o,MG,314668
82956996000178,FUNDAÇÃO CELESC DE SEGURIDADE SOCIAL - CELOS,1T,2025,2463058.39,AutogestÃ£o,SC,315044
65442162000125,UNIODONTO DE ARARAQUARA COOPERATIVA ODONTOLÓGICA,1T,2025,2843.96,Cooperativa odontolÃ³gica,SP,316997
83506030000100,BENEFICENCIA CAMILIANA DO SUL,1T,2025,16185.55,Filantropia,SP,318299
60975174000100,ASSOCIAÇÃO DE BENEFICÊNCIA E FILANTROPIA SÃO CRISTOVÃO,1T,2025,12340.67,Filantropia,SP,314218
00571628000147,DENTAL PLUS CONVÊNIO ODONTOLÓGICO LTDA.,1T,2025,2049958.17,Odontologia de Grupo,SP,314366
44803922000102,UNIMED DE PIRACICABA SOCIEDADE COOPERATIVA DE SERVIÇOS MÉDICOS,1T,2025,1960236.34,Cooperativa MÃ©dica,SP,315729
74521188000150,UNIMED DE SÃO ROQUE - COOPERATIVA DE TRABALHO MÉDICO,1T,2025,816249.41,Cooperativa MÃ©dica,SP,318388
44595858000111,UNIODONTO DO BRASIL CENTRAL NACIONAL DAS COOPERATIVAS ODONTÓLOGICAS,1T,2025,596598.18,Cooperativa odontolÃ³gica,SP,314315
00660903000107,FUNDAÇÃO AFFEMG DE ASSISTÊNCIA E SAÚDE - FUNDAFFEMG,1T,2025,185749.03,AutogestÃ£o,MG,315567
